#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 621; 9461261145; Michael Diego Cuenca Sanchez; 49; 21; 19/11/2007; 19/11/2028; 4; 5(E); E1; Bajo; 4 Hora(s); Otros
PPL 783; 6699521507; Victor Pablo Paredes Ramirez; 54; 39; 17/11/1990; 17/11/2029; 5; 5(E); E73; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 784; 8446882436; Pedro Antonio Paredes Morales; 63; 47; 09/12/1980; 09/12/2027; 3; 5(E); E74; Bajo; 4 Hora(s); Estafa
PPL 785; 3833324324; Michael Julian Paredes Sanchez; 49; 36; 18/09/1994; 18/09/2030; 6; 5(E); E75; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 786; 5505731901; Fabian Cesar Gonzales Gomez; 22; 15; 03/02/2023; 03/02/2038; 14; 5(E); E76; Bajo; 4 Hora(s); Estafa
PPL 787; 9597641779; Pedro Cesar Garcia Sanchez; 57; 43; 26/12/1987; 26/12/2030; 6; 5(E); E77; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 788; 5937130382; Victor Sergio Gonzales Hidalgo; 30; 22; 19/05/2015; 19/05/2037; 13; 5(E); E78; Bajo; 4 Hora(s); Estafa
PPL 789; 2272161288; Michael Adrian Gonzales Roman; 44; 30; 18/10/1999; 18/10/2029; 5; 5(E); E79; Bajo; 4 Hora(s); Otros
PPL 790; 7362074182; Fabian Sergio Garcia Ramirez; 50; 5; 12/02/2023; 12/02/2028; 4; 5(E); E80; Bajo; 4 Hora(s); Estafa
PPL 791; 8244682372; Fabian Antonio Guerrero Ramirez; 59; 41; 03/06/1985; 03/06/2026; 2; 5(E); E81; Bajo; 4 Hora(s); Escandalo Publico
PPL 792; 5935095561; Michael Julian Garcia Ramirez; 56; 37; 22/12/1990; 22/12/2027; 3; 5(E); E82; Bajo; 4 Hora(s); Estafa
PPL 793; 4005223643; Michael Antonio Paredes Gomez; 37; 19; 26/12/2010; 26/12/2029; 5; 5(E); E83; Bajo; 4 Hora(s); Escandalo Publico
PPL 794; 5561539251; Pedro Diego Cevallos Rivera; 28; 12; 15/05/2024; 15/05/2036; 12; 5(E); E84; Bajo; 4 Hora(s); Estafa
PPL 795; 7885877431; Roberto Julian Torres Roman; 34; 23; 15/10/2013; 15/10/2036; 12; 5(E); E85; Bajo; 4 Hora(s); Escandalo Publico
PPL 796; 1853157557; Roberto Pablo Torres Reyes; 49; 36; 23/02/1994; 23/02/2030; 6; 5(E); E86; Bajo; 4 Hora(s); Otros
PPL 797; 7064629160; Roberto Cesar Guerrero Roman; 42; 25; 15/01/2002; 15/01/2027; 3; 5(E); E87; Bajo; 4 Hora(s); Escandalo Publico
PPL 798; 8313131754; Pedro Diego Torres Rivera; 53; 38; 01/10/1992; 01/10/2030; 6; 5(E); E88; Bajo; 4 Hora(s); Otros
PPL 799; 3823098464; Roberto Diego Paredes Hidalgo; 27; 22; 24/11/2016; 24/11/2038; 14; 5(E); E89; Bajo; 4 Hora(s); Estafa
