#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 261; 5997450808; Mario Angel Garcia Gomez; 29; 27; 28/07/2016; 28/07/2043; 19; 3(C); C1; Medio; 2 Hora(s); Robo
PPL 430; 7270453141; Victor Julian Garcia Sanchez; 34; 21; 21/07/2015; 21/07/2036; 12; 3(C); C80; Medio; 2 Hora(s); Evacion de Impuestos
PPL 431; 2034980826; Michael Antonio Cuenca Espinosa; 52; 39; 24/02/1991; 24/02/2030; 6; 3(C); C81; Medio; 2 Hora(s); Evacion de Impuestos
PPL 432; 2066832109; Carlos Antonio Cevallos Roman; 44; 29; 30/12/2000; 30/12/2029; 5; 3(C); C82; Medio; 2 Hora(s); Robo
PPL 433; 7302183641; Roberto Paulo Cuenca Sanchez; 54; 36; 02/12/1992; 02/12/2028; 4; 3(C); C83; Medio; 2 Hora(s); Fraude
PPL 434; 2600549975; Dario Julian Cuenca Roman; 39; 22; 04/04/2012; 04/04/2034; 10; 3(C); C84; Medio; 2 Hora(s); Fraude
PPL 435; 1520440759; Fabian Julian Cuenca Roman; 52; 37; 03/11/1991; 03/11/2028; 4; 3(C); C85; Medio; 2 Hora(s); Fraude
PPL 436; 2087432031; Dario Julian Paredes Sanchez; 44; 25; 18/07/2012; 18/07/2037; 13; 3(C); C86; Medio; 2 Hora(s); Fraude
PPL 437; 6558169664; Victor Paulo Paredes Hidalgo; 40; 29; 10/09/2013; 10/09/2042; 18; 3(C); C87; Medio; 2 Hora(s); Robo
PPL 438; 6455928528; Roberto Cesar Romero Ramirez; 53; 35; 01/12/1992; 01/12/2027; 3; 3(C); C88; Medio; 2 Hora(s); Fraude
PPL 439; 3112154205; Fabian Cesar Cevallos Sanchez; 38; 19; 29/06/2019; 29/06/2038; 14; 3(C); C89; Medio; 2 Hora(s); Fraude
PPL 440; 6296023098; Roberto Adrian Romero Sanchez; 49; 32; 09/11/1995; 09/11/2027; 3; 3(C); C90; Medio; 2 Hora(s); Fraude
