#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 5619775676; Pedro Antonio Romero Morales; 28; 12; 14/02/2015; 14/02/2027; 3; 1(A); A1; Alto; 1 Hora(s); Narcotrafico
PPL 169; 5950982832; Gonzalo Julian Cuenca Roman; 52; 35; 17/02/1991; 17/02/2026; 2; 2(B); B89; Medio; 2 Hora(s); Hurto
PPL 170; 2118342604; Mario Diego Garcia Reyes; 53; 38; 10/07/1992; 10/07/2030; 6; 2(B); B90; Medio; 2 Hora(s); Robo
PPL 171; 7685569147; Pedro Paulo Gonzales Morales; 45; 28; 30/09/1999; 30/09/2027; 3; 2(B); B1; Medio; 2 Hora(s); Evacion de Impuestos
PPL 172; 8778613977; Michael Antonio Paredes Ramirez; 44; 22; 07/09/2005; 07/09/2027; 3; 2(B); B2; Medio; 2 Hora(s); Robo
PPL 173; 9732591315; Fabian Antonio Gonzales Sanchez; 37; 17; 19/10/2014; 19/10/2031; 7; 2(B); B3; Medio; 2 Hora(s); Hurto
PPL 174; 9140311093; Carlos Cesar Garcia Rivera; 37; 20; 16/02/2006; 16/02/2026; 2; 2(B); B4; Medio; 2 Hora(s); Robo
PPL 175; 7562119581; Pedro Diego Perero Ramirez; 57; 41; 21/02/1986; 21/02/2027; 3; 2(B); B5; Medio; 2 Hora(s); Hurto
PPL 176; 9155849909; Michael Diego Garcia Hidalgo; 28; 13; 17/06/2020; 17/06/2033; 9; 2(B); B6; Medio; 2 Hora(s); Hurto
PPL 177; 4509295931; Pedro Pablo Garcia Reyes; 56; 41; 04/01/1989; 04/01/2030; 6; 2(B); B7; Medio; 2 Hora(s); Fraude
PPL 178; 8178633033; Michael Paulo Romero Sanchez; 26; 17; 19/12/2017; 19/12/2034; 10; 2(B); B8; Medio; 2 Hora(s); Evacion de Impuestos
PPL 179; 1916864620; Roberto Julian Perero Hidalgo; 44; 20; 07/10/2009; 07/10/2029; 5; 2(B); B9; Medio; 2 Hora(s); Robo
PPL 180; 1638726199; Victor Antonio Perero Roman; 42; 25; 08/06/2003; 08/06/2028; 4; 2(B); B10; Medio; 2 Hora(s); Fraude
PPL 181; 5713891605; Carlos Adrian Perero Reyes; 42; 26; 16/07/2001; 16/07/2027; 3; 2(B); B11; Medio; 2 Hora(s); Hurto
PPL 182; 5991255365; Victor Angel Torres Reyes; 32; 17; 07/07/2011; 07/07/2028; 4; 2(B); B12; Medio; 2 Hora(s); Fraude
PPL 183; 5812244124; Gonzalo Cesar Paredes Espinosa; 49; 7; 07/06/2019; 07/06/2026; 2; 2(B); B13; Medio; 2 Hora(s); Hurto
PPL 184; 3584527772; Mario Diego Gonzales Gomez; 41; 26; 27/08/2008; 27/08/2034; 10; 2(B); B14; Medio; 2 Hora(s); Robo
PPL 185; 6639243383; Roberto Cesar Cuenca Hidalgo; 49; 24; 15/06/2019; 15/06/2043; 19; 2(B); B15; Medio; 2 Hora(s); Robo
PPL 186; 9622644641; Roberto Diego Cevallos Espinosa; 60; 47; 05/03/1983; 05/03/2030; 6; 2(B); B16; Medio; 2 Hora(s); Evacion de Impuestos
PPL 187; 9735914807; Gonzalo Julian Romero Hidalgo; 41; 24; 02/01/2005; 02/01/2029; 5; 2(B); B17; Medio; 2 Hora(s); Robo
PPL 188; 4586294245; Michael Julian Garcia Sanchez; 58; 39; 19/10/1988; 19/10/2027; 3; 2(B); B18; Medio; 2 Hora(s); Fraude
PPL 189; 3386355076; Mario Julian Torres Sanchez; 33; 19; 09/07/2010; 09/07/2029; 5; 2(B); B19; Medio; 2 Hora(s); Hurto
PPL 190; 1318336570; Roberto Pablo Cuenca Espinosa; 28; 18; 20/04/2015; 20/04/2033; 9; 2(B); B20; Medio; 2 Hora(s); Fraude
PPL 191; 4108354370; Fabian Diego Cuenca Espinosa; 59; 44; 21/08/1986; 21/08/2030; 6; 2(B); B21; Medio; 2 Hora(s); Hurto
PPL 192; 8176458114; Roberto Angel Garcia Reyes; 65; 48; 21/08/1981; 21/08/2029; 5; 2(B); B22; Medio; 2 Hora(s); Fraude
PPL 193; 2538931401; Mario Antonio Torres Espinosa; 51; 36; 01/06/1994; 01/06/2030; 6; 2(B); B23; Medio; 2 Hora(s); Robo
PPL 194; 9368599400; Pedro Paulo Cevallos Espinosa; 46; 31; 13/12/1997; 13/12/2028; 4; 2(B); B24; Medio; 2 Hora(s); Robo
PPL 195; 3571074564; Pedro Angel Paredes Sanchez; 45; 28; 08/07/1999; 08/07/2027; 3; 2(B); B25; Medio; 2 Hora(s); Robo
PPL 196; 4337585323; Victor Sergio Paredes Ramirez; 27; 13; 05/07/2016; 05/07/2029; 5; 2(B); B26; Medio; 2 Hora(s); Evacion de Impuestos
PPL 197; 1185095388; Michael Diego Guerrero Sanchez; 60; 44; 05/06/1986; 05/06/2030; 6; 2(B); B27; Medio; 2 Hora(s); Robo
PPL 198; 8267036889; Roberto Julian Garcia Morales; 54; 38; 21/07/1991; 21/07/2029; 5; 2(B); B28; Medio; 2 Hora(s); Fraude
PPL 199; 7738315218; Carlos Paulo Cuenca Morales; 57; 43; 31/03/1986; 31/03/2029; 5; 2(B); B29; Medio; 2 Hora(s); Hurto
PPL 200; 3780843328; Gonzalo Sergio Cuenca Espinosa; 47; 30; 27/08/2013; 27/08/2043; 19; 2(B); B30; Medio; 2 Hora(s); Fraude
PPL 201; 3234071999; Pedro Antonio Gonzales Ramirez; 47; 15; 24/08/2015; 24/08/2030; 6; 2(B); B31; Medio; 2 Hora(s); Hurto
PPL 202; 5535030706; Gonzalo Antonio Cevallos Hidalgo; 58; 42; 01/10/1985; 01/10/2027; 3; 2(B); B32; Medio; 2 Hora(s); Evacion de Impuestos
PPL 203; 8539292957; Roberto Julian Romero Sanchez; 54; 41; 10/10/1989; 10/10/2030; 6; 2(B); B33; Medio; 2 Hora(s); Fraude
PPL 204; 5916579073; Roberto Pablo Garcia Gomez; 32; 17; 23/02/2011; 23/02/2028; 4; 2(B); B34; Medio; 2 Hora(s); Evacion de Impuestos
PPL 205; 3081565598; Michael Diego Garcia Morales; 47; 9; 29/07/2022; 29/07/2031; 7; 2(B); B35; Medio; 2 Hora(s); Hurto
PPL 206; 8050220761; Carlos Pablo Romero Rivera; 37; 11; 07/09/2015; 07/09/2026; 2; 2(B); B36; Medio; 2 Hora(s); Evacion de Impuestos
PPL 207; 3359980048; Dario Antonio Cuenca Sanchez; 50; 34; 14/10/1996; 14/10/2030; 6; 2(B); B37; Medio; 2 Hora(s); Evacion de Impuestos
PPL 208; 8955136425; Fabian Angel Torres Roman; 23; 4; 08/08/2022; 08/08/2026; 2; 2(B); B38; Medio; 2 Hora(s); Fraude
PPL 209; 5077336763; Fabian Julian Guerrero Sanchez; 58; 42; 10/07/1988; 10/07/2030; 6; 2(B); B39; Medio; 2 Hora(s); Evacion de Impuestos
PPL 210; 4479459450; Victor Sergio Cevallos Espinosa; 41; 24; 20/10/2002; 20/10/2026; 2; 2(B); B40; Medio; 2 Hora(s); Evacion de Impuestos
PPL 211; 2474535229; Gonzalo Paulo Garcia Roman; 39; 23; 30/09/2021; 30/09/2044; 20; 2(B); B41; Medio; 2 Hora(s); Hurto
PPL 212; 1635650444; Pedro Antonio Cuenca Hidalgo; 32; 24; 24/10/2023; 24/10/2047; 23; 2(B); B42; Medio; 2 Hora(s); Hurto
PPL 213; 5343990721; Gonzalo Adrian Cuenca Reyes; 42; 30; 17/01/2015; 17/01/2045; 21; 2(B); B43; Medio; 2 Hora(s); Evacion de Impuestos
PPL 214; 3550223976; Victor Adrian Paredes Espinosa; 43; 24; 01/08/2005; 01/08/2029; 5; 2(B); B44; Medio; 2 Hora(s); Evacion de Impuestos
PPL 215; 3490765371; Fabian Paulo Cuenca Rivera; 38; 27; 02/02/2007; 02/02/2034; 10; 2(B); B45; Medio; 2 Hora(s); Fraude
PPL 216; 4476383177; Pedro Cesar Torres Roman; 47; 29; 13/04/1999; 13/04/2028; 4; 2(B); B46; Medio; 2 Hora(s); Evacion de Impuestos
PPL 217; 8905558659; Victor Angel Guerrero Espinosa; 46; 30; 26/01/2024; 26/01/2054; 30; 2(B); B47; Medio; 2 Hora(s); Hurto
PPL 218; 7966966786; Roberto Julian Paredes Sanchez; 37; 19; 13/06/2008; 13/06/2027; 3; 2(B); B48; Medio; 2 Hora(s); Evacion de Impuestos
PPL 219; 6894453141; Carlos Julian Guerrero Roman; 62; 46; 14/08/1982; 14/08/2028; 4; 2(B); B49; Medio; 2 Hora(s); Hurto
PPL 220; 5436962582; Victor Julian Romero Rivera; 30; 27; 14/03/2013; 14/03/2040; 16; 2(B); B50; Medio; 2 Hora(s); Robo
PPL 221; 4168339137; Dario Angel Paredes Sanchez; 48; 30; 21/04/1998; 21/04/2028; 4; 2(B); B51; Medio; 2 Hora(s); Robo
PPL 222; 4253253104; Fabian Diego Cuenca Gomez; 46; 7; 16/09/2020; 16/09/2027; 3; 2(B); B52; Medio; 2 Hora(s); Evacion de Impuestos
PPL 223; 4873938038; Victor Sergio Cuenca Morales; 65; 46; 09/04/1980; 09/04/2026; 2; 2(B); B53; Medio; 2 Hora(s); Hurto
PPL 224; 6555556178; Carlos Pablo Paredes Hidalgo; 39; 26; 29/08/2004; 29/08/2030; 6; 2(B); B54; Medio; 2 Hora(s); Robo
PPL 225; 8260875411; Fabian Antonio Cuenca Sanchez; 37; 20; 24/08/2006; 24/08/2026; 2; 2(B); B55; Medio; 2 Hora(s); Fraude
PPL 226; 6005941386; Dario Paulo Paredes Sanchez; 61; 45; 21/10/1983; 21/10/2028; 4; 2(B); B56; Medio; 2 Hora(s); Evacion de Impuestos
PPL 227; 3992868569; Fabian Antonio Cuenca Ramirez; 46; 29; 30/04/1998; 30/04/2027; 3; 2(B); B57; Medio; 2 Hora(s); Robo
PPL 228; 3923523618; Fabian Paulo Paredes Reyes; 41; 24; 09/08/2002; 09/08/2026; 2; 2(B); B58; Medio; 2 Hora(s); Hurto
PPL 229; 1655650218; Dario Cesar Torres Rivera; 60; 43; 14/05/1986; 14/05/2029; 5; 2(B); B59; Medio; 2 Hora(s); Fraude
PPL 230; 1081310617; Gonzalo Antonio Gonzales Espinosa; 41; 27; 22/10/2004; 22/10/2031; 7; 2(B); B60; Medio; 2 Hora(s); Hurto
PPL 231; 9387077799; Pedro Antonio Guerrero Gomez; 64; 47; 27/10/1982; 27/10/2029; 5; 2(B); B61; Medio; 2 Hora(s); Hurto
PPL 232; 4934966458; Pedro Julian Paredes Ramirez; 45; 29; 24/03/1998; 24/03/2027; 3; 2(B); B62; Medio; 2 Hora(s); Evacion de Impuestos
PPL 233; 5239891228; Roberto Pablo Cuenca Sanchez; 41; 4; 14/08/2022; 14/08/2026; 2; 2(B); B63; Medio; 2 Hora(s); Fraude
PPL 234; 6886534305; Michael Diego Gonzales Roman; 48; 25; 04/05/2002; 04/05/2027; 3; 2(B); B64; Medio; 2 Hora(s); Fraude
PPL 235; 8530086704; Dario Angel Guerrero Espinosa; 64; 45; 28/02/1981; 28/02/2026; 2; 2(B); B65; Medio; 2 Hora(s); Robo
PPL 236; 8790843566; Carlos Julian Cuenca Reyes; 49; 35; 08/09/1994; 08/09/2029; 5; 2(B); B66; Medio; 2 Hora(s); Evacion de Impuestos
PPL 237; 5629090913; Carlos Paulo Torres Morales; 53; 38; 10/01/1991; 10/01/2029; 5; 2(B); B67; Medio; 2 Hora(s); Hurto
PPL 238; 7711851167; Fabian Angel Cuenca Rivera; 40; 22; 14/05/2024; 14/05/2046; 22; 2(B); B68; Medio; 2 Hora(s); Fraude
PPL 239; 3877371192; Dario Antonio Paredes Gomez; 42; 19; 28/03/2009; 28/03/2028; 4; 2(B); B69; Medio; 2 Hora(s); Hurto
PPL 240; 4637556096; Mario Sergio Cevallos Ramirez; 54; 39; 30/11/1989; 30/11/2028; 4; 2(B); B70; Medio; 2 Hora(s); Robo
PPL 241; 4416030616; Dario Angel Paredes Rivera; 57; 42; 11/02/1987; 11/02/2029; 5; 2(B); B71; Medio; 2 Hora(s); Robo
PPL 242; 9812926908; Dario Sergio Garcia Morales; 38; 8; 10/11/2017; 10/11/2025; 1; 2(B); B72; Medio; 2 Hora(s); Evacion de Impuestos
PPL 243; 1790022494; Victor Adrian Cuenca Espinosa; 27; 17; 29/12/2016; 29/12/2033; 9; 2(B); B73; Medio; 2 Hora(s); Hurto
PPL 244; 7928684824; Gonzalo Diego Torres Roman; 31; 20; 13/01/2015; 13/01/2035; 11; 2(B); B74; Medio; 2 Hora(s); Robo
PPL 245; 9777627939; Dario Angel Paredes Reyes; 60; 43; 21/04/1986; 21/04/2029; 5; 2(B); B75; Medio; 2 Hora(s); Fraude
PPL 246; 1691662533; Pedro Antonio Perero Morales; 40; 25; 19/09/2006; 19/09/2031; 7; 2(B); B76; Medio; 2 Hora(s); Hurto
PPL 247; 2539932312; Gonzalo Julian Cuenca Hidalgo; 59; 43; 04/06/1987; 04/06/2030; 6; 2(B); B77; Medio; 2 Hora(s); Hurto
PPL 248; 4679658495; Pedro Adrian Paredes Sanchez; 43; 28; 16/08/2000; 16/08/2028; 4; 2(B); B78; Medio; 2 Hora(s); Evacion de Impuestos
PPL 249; 7360640226; Carlos Antonio Gonzales Espinosa; 47; 32; 15/02/1997; 15/02/2029; 5; 2(B); B79; Medio; 2 Hora(s); Fraude
PPL 250; 5729427225; Gonzalo Pablo Cuenca Ramirez; 33; 17; 15/03/2011; 15/03/2028; 4; 2(B); B80; Medio; 2 Hora(s); Fraude
PPL 251; 2415076499; Gonzalo Paulo Paredes Hidalgo; 53; 40; 15/04/1990; 15/04/2030; 6; 2(B); B81; Medio; 2 Hora(s); Evacion de Impuestos
PPL 252; 8912832572; Dario Paulo Paredes Espinosa; 35; 16; 30/09/2009; 30/09/2025; 1; 2(B); B82; Medio; 2 Hora(s); Robo
PPL 253; 3680680457; Mario Julian Guerrero Morales; 62; 44; 02/12/1982; 02/12/2026; 2; 2(B); B83; Medio; 2 Hora(s); Robo
PPL 254; 4119128229; Carlos Paulo Paredes Espinosa; 27; 21; 20/04/2016; 20/04/2037; 13; 2(B); B84; Medio; 2 Hora(s); Evacion de Impuestos
PPL 255; 3172094498; Michael Adrian Guerrero Ramirez; 28; 20; 10/08/2023; 10/08/2043; 19; 2(B); B85; Medio; 2 Hora(s); Hurto
PPL 256; 8356190156; Dario Antonio Guerrero Hidalgo; 54; 40; 22/07/1989; 22/07/2029; 5; 2(B); B86; Medio; 2 Hora(s); Robo
PPL 257; 3256322379; Michael Antonio Guerrero Sanchez; 33; 20; 04/02/2010; 04/02/2030; 6; 2(B); B87; Medio; 2 Hora(s); Robo
PPL 258; 1831979367; Dario Adrian Garcia Hidalgo; 40; 21; 30/05/2019; 30/05/2040; 16; 2(B); B88; Medio; 2 Hora(s); Evacion de Impuestos
PPL 259; 8317083370; Mario Julian Torres Espinosa; 56; 39; 14/09/1990; 14/09/2029; 5; 2(B); B89; Medio; 2 Hora(s); Fraude
PPL 260; 8197949903; Carlos Cesar Cevallos Sanchez; 49; 36; 31/05/1994; 31/05/2030; 6; 2(B); B90; Medio; 2 Hora(s); Evacion de Impuestos
PPL 261; 8208176420; Mario Adrian Paredes Reyes; 37; 3; 28/09/2023; 28/09/2026; 2; 3(C); C1; Medio; 2 Hora(s); Hurto
PPL 262; 5062455404; Carlos Julian Garcia Hidalgo; 59; 42; 25/06/1986; 25/06/2028; 4; 3(C); C2; Medio; 2 Hora(s); Robo
PPL 263; 5969637785; Victor Julian Romero Sanchez; 36; 25; 28/02/2007; 28/02/2032; 8; 3(C); C3; Medio; 2 Hora(s); Fraude
PPL 264; 6528079413; Roberto Cesar Garcia Hidalgo; 34; 14; 11/11/2016; 11/11/2030; 6; 3(C); C4; Medio; 2 Hora(s); Fraude
PPL 265; 5160567147; Fabian Pablo Torres Roman; 48; 34; 28/10/1996; 28/10/2030; 6; 3(C); C5; Medio; 2 Hora(s); Fraude
PPL 266; 2190750857; Fabian Sergio Perero Rivera; 50; 23; 19/06/2002; 19/06/2025; 1; 3(C); C6; Medio; 2 Hora(s); Fraude
PPL 267; 3384740451; Roberto Paulo Paredes Morales; 39; 21; 17/08/2006; 17/08/2027; 3; 3(C); C7; Medio; 2 Hora(s); Robo
PPL 268; 7648591412; Fabian Antonio Cevallos Morales; 44; 13; 15/01/2023; 15/01/2036; 12; 3(C); C8; Medio; 2 Hora(s); Robo
PPL 269; 5651180519; Michael Julian Cuenca Roman; 56; 42; 22/03/1988; 22/03/2030; 6; 3(C); C9; Medio; 2 Hora(s); Hurto
PPL 270; 9522922970; Carlos Antonio Paredes Sanchez; 63; 45; 01/06/1981; 01/06/2026; 2; 3(C); C10; Medio; 2 Hora(s); Evacion de Impuestos
PPL 271; 9271819007; Fabian Antonio Gonzales Rivera; 61; 46; 27/06/1983; 27/06/2029; 5; 3(C); C11; Medio; 2 Hora(s); Fraude
PPL 272; 1493157369; Fabian Angel Guerrero Gomez; 55; 35; 22/07/1991; 22/07/2026; 2; 3(C); C12; Medio; 2 Hora(s); Robo
PPL 273; 1270125995; Roberto Paulo Guerrero Sanchez; 29; 9; 08/01/2017; 08/01/2026; 2; 3(C); C13; Medio; 2 Hora(s); Robo
PPL 274; 3050153840; Fabian Adrian Paredes Gomez; 36; 24; 04/06/2018; 04/06/2042; 18; 3(C); C14; Medio; 2 Hora(s); Fraude
PPL 275; 6461559519; Dario Julian Cevallos Reyes; 47; 28; 02/03/1999; 02/03/2027; 3; 3(C); C15; Medio; 2 Hora(s); Robo
PPL 276; 1822961939; Victor Diego Guerrero Sanchez; 48; 30; 01/06/1996; 01/06/2026; 2; 3(C); C16; Medio; 2 Hora(s); Evacion de Impuestos
PPL 277; 3349096119; Dario Sergio Romero Rivera; 39; 19; 31/04/2007; 31/04/2026; 2; 3(C); C17; Medio; 2 Hora(s); Fraude
PPL 278; 1216866342; Victor Antonio Paredes Roman; 52; 35; 21/02/1993; 21/02/2028; 4; 3(C); C18; Medio; 2 Hora(s); Evacion de Impuestos
PPL 279; 4776026740; Roberto Pablo Garcia Ramirez; 47; 10; 22/10/2021; 22/10/2031; 7; 3(C); C19; Medio; 2 Hora(s); Hurto
PPL 280; 3860025390; Fabian Sergio Torres Sanchez; 59; 45; 07/04/1985; 07/04/2030; 6; 3(C); C20; Medio; 2 Hora(s); Evacion de Impuestos
PPL 281; 5896874086; Pedro Diego Perero Sanchez; 64; 45; 31/02/1981; 31/02/2026; 2; 3(C); C21; Medio; 2 Hora(s); Hurto
PPL 282; 7309513498; Dario Adrian Romero Sanchez; 36; 14; 03/01/2019; 03/01/2033; 9; 3(C); C22; Medio; 2 Hora(s); Fraude
PPL 283; 4915557021; Victor Antonio Cuenca Espinosa; 62; 47; 01/04/1981; 01/04/2028; 4; 3(C); C23; Medio; 2 Hora(s); Hurto
PPL 284; 3584934784; Carlos Diego Perero Espinosa; 31; 19; 30/03/2012; 30/03/2031; 7; 3(C); C24; Medio; 2 Hora(s); Evacion de Impuestos
PPL 285; 1057257565; Roberto Julian Gonzales Espinosa; 48; 32; 22/02/1995; 22/02/2027; 3; 3(C); C25; Medio; 2 Hora(s); Hurto
PPL 286; 8882551700; Mario Angel Garcia Rivera; 63; 50; 13/08/1980; 13/08/2030; 6; 3(C); C26; Medio; 2 Hora(s); Fraude
PPL 287; 3762188396; Victor Antonio Cevallos Espinosa; 29; 19; 20/03/2018; 20/03/2037; 13; 3(C); C27; Medio; 2 Hora(s); Hurto
PPL 288; 6932684804; Fabian Sergio Gonzales Gomez; 31; 15; 29/05/2015; 29/05/2030; 6; 3(C); C28; Medio; 2 Hora(s); Fraude
PPL 289; 7423053747; Fabian Adrian Perero Hidalgo; 36; 21; 15/10/2007; 15/10/2028; 4; 3(C); C29; Medio; 2 Hora(s); Robo
PPL 290; 8630450542; Victor Adrian Gonzales Morales; 50; 33; 05/05/1997; 05/05/2030; 6; 3(C); C30; Medio; 2 Hora(s); Hurto
PPL 291; 2561438765; Michael Antonio Gonzales Sanchez; 60; 41; 26/09/1986; 26/09/2027; 3; 3(C); C31; Medio; 2 Hora(s); Robo
PPL 292; 4427533846; Mario Antonio Paredes Hidalgo; 59; 42; 01/09/1986; 01/09/2028; 4; 3(C); C32; Medio; 2 Hora(s); Evacion de Impuestos
PPL 293; 1710167800; Fabian Julian Gonzales Reyes; 47; 27; 07/12/1999; 07/12/2026; 2; 3(C); C33; Medio; 2 Hora(s); Fraude
PPL 294; 9313967066; Roberto Paulo Paredes Morales; 48; 33; 05/05/1997; 05/05/2030; 6; 3(C); C34; Medio; 2 Hora(s); Hurto
PPL 295; 8726113071; Victor Antonio Cevallos Sanchez; 64; 50; 31/07/1980; 31/07/2030; 6; 3(C); C35; Medio; 2 Hora(s); Robo
PPL 296; 6179762943; Pedro Paulo Guerrero Gomez; 55; 40; 21/08/1989; 21/08/2029; 5; 3(C); C36; Medio; 2 Hora(s); Hurto
PPL 297; 6958976897; Roberto Angel Paredes Gomez; 49; 33; 25/04/1995; 25/04/2028; 4; 3(C); C37; Medio; 2 Hora(s); Evacion de Impuestos
PPL 298; 3735710908; Mario Pablo Garcia Morales; 38; 19; 26/08/2006; 26/08/2025; 1; 3(C); C38; Medio; 2 Hora(s); Evacion de Impuestos
PPL 299; 6235433008; Pedro Cesar Cevallos Sanchez; 52; 36; 05/02/1993; 05/02/2029; 5; 3(C); C39; Medio; 2 Hora(s); Evacion de Impuestos
PPL 300; 9164955447; Fabian Pablo Cevallos Roman; 58; 38; 12/01/1988; 12/01/2026; 2; 3(C); C40; Medio; 2 Hora(s); Robo
PPL 301; 7016025331; Fabian Diego Perero Reyes; 36; 22; 28/08/2008; 28/08/2030; 6; 3(C); C41; Medio; 2 Hora(s); Evacion de Impuestos
PPL 302; 5000283101; Pedro Adrian Guerrero Sanchez; 53; 37; 12/12/1990; 12/12/2027; 3; 3(C); C42; Medio; 2 Hora(s); Evacion de Impuestos
PPL 303; 7013066737; Pedro Julian Cuenca Hidalgo; 38; 27; 28/10/2014; 28/10/2041; 17; 3(C); C43; Medio; 2 Hora(s); Evacion de Impuestos
PPL 304; 5226132115; Mario Julian Garcia Gomez; 31; 29; 04/10/2022; 04/10/2051; 27; 3(C); C44; Medio; 2 Hora(s); Fraude
PPL 305; 8040788834; Fabian Antonio Garcia Sanchez; 38; 21; 19/12/2005; 19/12/2026; 2; 3(C); C45; Medio; 2 Hora(s); Hurto
PPL 306; 1364879846; Victor Julian Guerrero Sanchez; 53; 34; 10/11/1993; 10/11/2027; 3; 3(C); C46; Medio; 2 Hora(s); Robo
PPL 307; 9590377391; Mario Angel Cevallos Sanchez; 28; 12; 24/11/2017; 24/11/2029; 5; 3(C); C47; Medio; 2 Hora(s); Evacion de Impuestos
PPL 308; 5337114487; Pedro Cesar Torres Ramirez; 33; 17; 15/11/2011; 15/11/2028; 4; 3(C); C48; Medio; 2 Hora(s); Evacion de Impuestos
PPL 309; 2385937132; Gonzalo Antonio Gonzales Ramirez; 45; 27; 05/11/2023; 05/11/2050; 26; 3(C); C49; Medio; 2 Hora(s); Fraude
PPL 310; 1564190113; Fabian Angel Guerrero Roman; 46; 24; 12/03/2001; 12/03/2025; 1; 3(C); C50; Medio; 2 Hora(s); Hurto
PPL 311; 8971311884; Gonzalo Diego Cevallos Roman; 37; 19; 28/03/2020; 28/03/2039; 15; 3(C); C51; Medio; 2 Hora(s); Fraude
PPL 312; 3856954610; Victor Pablo Garcia Morales; 48; 32; 13/06/1995; 13/06/2027; 3; 3(C); C52; Medio; 2 Hora(s); Robo
PPL 313; 6928460280; Pedro Diego Perero Morales; 34; 19; 29/03/2011; 29/03/2030; 6; 3(C); C53; Medio; 2 Hora(s); Evacion de Impuestos
PPL 314; 5360492693; Pedro Paulo Garcia Morales; 48; 32; 06/10/1998; 06/10/2030; 6; 3(C); C54; Medio; 2 Hora(s); Evacion de Impuestos
PPL 315; 5645034473; Roberto Pablo Gonzales Ramirez; 48; 31; 04/04/1995; 04/04/2026; 2; 3(C); C55; Medio; 2 Hora(s); Robo
PPL 316; 6982420382; Roberto Adrian Romero Gomez; 49; 33; 31/02/1995; 31/02/2028; 4; 3(C); C56; Medio; 2 Hora(s); Robo
PPL 317; 7786740680; Roberto Julian Perero Roman; 44; 24; 07/02/2015; 07/02/2039; 15; 3(C); C57; Medio; 2 Hora(s); Hurto
PPL 318; 6633335497; Carlos Antonio Torres Sanchez; 46; 32; 19/12/1997; 19/12/2029; 5; 3(C); C58; Medio; 2 Hora(s); Hurto
PPL 319; 8993370613; Gonzalo Sergio Garcia Sanchez; 42; 25; 02/10/2001; 02/10/2026; 2; 3(C); C59; Medio; 2 Hora(s); Robo
PPL 320; 8583599816; Fabian Antonio Cuenca Sanchez; 47; 15; 19/05/2022; 19/05/2037; 13; 3(C); C60; Medio; 2 Hora(s); Evacion de Impuestos
PPL 321; 6026341806; Fabian Paulo Romero Rivera; 63; 46; 15/01/1980; 15/01/2026; 2; 3(C); C61; Medio; 2 Hora(s); Fraude
PPL 322; 3421320140; Roberto Angel Gonzales Espinosa; 42; 28; 28/06/2002; 28/06/2030; 6; 3(C); C62; Medio; 2 Hora(s); Robo
PPL 323; 5564491824; Dario Cesar Cevallos Espinosa; 36; 22; 29/07/2007; 29/07/2029; 5; 3(C); C63; Medio; 2 Hora(s); Hurto
PPL 324; 6091736721; Gonzalo Angel Torres Gomez; 65; 49; 20/10/1981; 20/10/2030; 6; 3(C); C64; Medio; 2 Hora(s); Evacion de Impuestos
PPL 325; 9805331720; Fabian Sergio Paredes Gomez; 60; 40; 12/12/1986; 12/12/2026; 2; 3(C); C65; Medio; 2 Hora(s); Robo
PPL 326; 9600657175; Dario Julian Torres Hidalgo; 49; 20; 09/01/2022; 09/01/2042; 18; 3(C); C66; Medio; 2 Hora(s); Fraude
PPL 327; 9099471970; Pedro Diego Guerrero Rivera; 47; 21; 01/07/2005; 01/07/2026; 2; 3(C); C67; Medio; 2 Hora(s); Hurto
PPL 328; 7203788393; Victor Adrian Cuenca Rivera; 48; 29; 03/07/1998; 03/07/2027; 3; 3(C); C68; Medio; 2 Hora(s); Fraude
PPL 329; 9882035588; Roberto Angel Cevallos Morales; 51; 30; 12/06/1995; 12/06/2025; 1; 3(C); C69; Medio; 2 Hora(s); Evacion de Impuestos
PPL 330; 2067551215; Roberto Antonio Garcia Sanchez; 47; 21; 10/01/2005; 10/01/2026; 2; 3(C); C70; Medio; 2 Hora(s); Hurto
PPL 331; 5102299591; Mario Angel Gonzales Hidalgo; 44; 29; 31/11/2000; 31/11/2029; 5; 3(C); C71; Medio; 2 Hora(s); Evacion de Impuestos
PPL 332; 7442150916; Victor Antonio Cuenca Sanchez; 48; 32; 08/01/1996; 08/01/2028; 4; 3(C); C72; Medio; 2 Hora(s); Fraude
PPL 333; 4687841790; Dario Pablo Guerrero Ramirez; 60; 45; 24/01/1983; 24/01/2028; 4; 3(C); C73; Medio; 2 Hora(s); Fraude
PPL 334; 9849566965; Michael Angel Perero Sanchez; 48; 21; 05/10/2005; 05/10/2026; 2; 3(C); C74; Medio; 2 Hora(s); Evacion de Impuestos
PPL 335; 1447872240; Michael Adrian Cevallos Morales; 60; 44; 18/02/1983; 18/02/2027; 3; 3(C); C75; Medio; 2 Hora(s); Robo
PPL 336; 1963418452; Gonzalo Antonio Gonzales Morales; 37; 23; 08/08/2008; 08/08/2031; 7; 3(C); C76; Medio; 2 Hora(s); Robo
PPL 337; 8268889953; Carlos Diego Torres Sanchez; 38; 21; 30/12/2005; 30/12/2026; 2; 3(C); C77; Medio; 2 Hora(s); Evacion de Impuestos
