#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 441; 9189258902; Fabian Adrian Romero Reyes; 64; 47; 16/10/1980; 16/10/2027; 3; 4(D); D1; Bajo; 4 Hora(s); Escandalo Publico
PPL 603; 6747041396; Fabian Adrian Guerrero Sanchez; 40; 13; 31/03/2015; 31/03/2028; 4; 4(D); D73; Bajo; 4 Hora(s); Otros
PPL 604; 6341179977; Gonzalo Pablo Paredes Rivera; 43; 20; 16/08/2009; 16/08/2029; 5; 4(D); D74; Bajo; 4 Hora(s); Escandalo Publico
PPL 605; 2347443952; Carlos Antonio Guerrero Ramirez; 33; 14; 09/07/2012; 09/07/2026; 2; 4(D); D75; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 606; 7302792369; Fabian Antonio Paredes Espinosa; 59; 42; 18/05/1985; 18/05/2027; 3; 4(D); D76; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 607; 2452099414; Roberto Sergio Paredes Espinosa; 49; 31; 03/10/1996; 03/10/2027; 3; 4(D); D77; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 608; 3774778038; Roberto Antonio Paredes Gomez; 65; 48; 21/11/1981; 21/11/2029; 5; 4(D); D78; Bajo; 4 Hora(s); Otros
PPL 609; 4412232664; Roberto Angel Garcia Ramirez; 44; 22; 31/11/2010; 31/11/2032; 8; 4(D); D79; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 610; 3375390162; Dario Paulo Guerrero Reyes; 36; 25; 01/03/2022; 01/03/2047; 23; 4(D); D80; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 611; 4830473388; Carlos Antonio Gonzales Ramirez; 44; 26; 13/12/1999; 13/12/2025; 1; 4(D); D81; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 612; 3663689617; Victor Sergio Perero Roman; 38; 7; 01/08/2021; 01/08/2028; 4; 4(D); D82; Bajo; 4 Hora(s); Estafa
PPL 613; 6843442027; Roberto Antonio Torres Rivera; 55; 42; 20/01/1988; 20/01/2030; 6; 4(D); D83; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 614; 8507095576; Fabian Cesar Gonzales Roman; 26; 16; 22/08/2017; 22/08/2033; 9; 4(D); D84; Bajo; 4 Hora(s); Escandalo Publico
PPL 615; 5822065152; Fabian Julian Cevallos Gomez; 63; 46; 16/05/1980; 16/05/2026; 2; 4(D); D85; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 616; 2096499317; Fabian Adrian Gonzales Roman; 20; 12; 29/05/2023; 29/05/2035; 11; 4(D); D86; Bajo; 4 Hora(s); Escandalo Publico
PPL 617; 7052989116; Roberto Diego Romero Ramirez; 44; 30; 05/03/1999; 05/03/2029; 5; 4(D); D87; Bajo; 4 Hora(s); Otros
PPL 618; 5593929293; Roberto Angel Guerrero Morales; 64; 48; 07/01/1981; 07/01/2029; 5; 4(D); D88; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 619; 7763358275; Fabian Antonio Paredes Sanchez; 53; 37; 25/11/1991; 25/11/2028; 4; 4(D); D89; Bajo; 4 Hora(s); Escandalo Publico
PPL 620; 8589970369; Michael Cesar Cuenca Hidalgo; 44; 30; 09/01/2021; 09/01/2051; 27; 4(D); D90; Bajo; 4 Hora(s); Otros
