#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 81; 7578080871; Pedro Antonio Cevallos Morales; 28; 13; 26/01/2015; 26/01/2028; 4; 2(B); B1; Medio; 2 Hora(s); Hurto
PPL 249; 9655136589; Gonzalo Adrian Garcia Reyes; 29; 29; 13/10/2014; 13/10/2043; 19; 2(B); B79; Medio; 2 Hora(s); Robo
PPL 250; 3181358815; Dario Julian Garcia Morales; 39; 21; 13/02/2005; 13/02/2026; 2; 2(B); B80; Medio; 2 Hora(s); Fraude
PPL 251; 8734056475; Carlos Angel Cuenca Reyes; 42; 16; 31/12/2010; 31/12/2026; 2; 2(B); B81; Medio; 2 Hora(s); Fraude
PPL 252; 3183158499; Roberto Julian Gonzales Reyes; 51; 37; 12/07/1992; 12/07/2029; 5; 2(B); B82; Medio; 2 Hora(s); Evacion de Impuestos
PPL 253; 1896391802; Mario Diego Romero Morales; 56; 41; 31/06/1988; 31/06/2029; 5; 2(B); B83; Medio; 2 Hora(s); Robo
PPL 254; 7593261042; Victor Diego Perero Sanchez; 61; 46; 18/01/1984; 18/01/2030; 6; 2(B); B84; Medio; 2 Hora(s); Fraude
PPL 255; 98924100289; Fabian Antonio Cuenca Rivera; 66; 47; 08/12/1980; 08/12/2027; 3; 2(B); B85; Medio; 2 Hora(s); Hurto
PPL 256; 5563647518; Mario Antonio Romero Roman; 42; 27; 03/05/2002; 03/05/2029; 5; 2(B); B86; Medio; 2 Hora(s); Evacion de Impuestos
PPL 257; 2809680017; Mario Diego Paredes Morales; 42; 22; 24/05/2005; 24/05/2027; 3; 2(B); B87; Medio; 2 Hora(s); Hurto
PPL 258; 9117419850; Gonzalo Cesar Perero Morales; 31; 6; 28/10/2021; 28/10/2027; 3; 2(B); B88; Medio; 2 Hora(s); Fraude
PPL 259; 6308447007; Carlos Cesar Romero Morales; 31; 15; 20/06/2014; 20/06/2029; 5; 2(B); B89; Medio; 2 Hora(s); Evacion de Impuestos
PPL 260; 7217726544; Mario Antonio Guerrero Morales; 31; 22; 31/11/2023; 31/11/2045; 21; 2(B); B90; Medio; 2 Hora(s); Fraude
